Wall time,Step,Value
1655568780.4524512,16384,183159.0
1655570508.1636267,32768,343844.03125
1655572274.9533174,49152,373135.21875
1655574045.6186473,65536,430518.59375
1655575808.834204,81920,579698.125
1655577575.0951812,98304,617689.125
1655579348.8622303,114688,728182.3125
1655581125.78078,131072,745272.25
1655582911.0220706,147456,760862.75
1655585041.5115907,163840,880614.3125
1655586823.6002116,180224,954287.0
1655588613.857545,196608,855440.1875
1655590406.976471,212992,856562.625
1655592206.635203,229376,982369.0625
1655594016.0033858,245760,906531.0
1655595814.0262146,262144,951201.875
1655597618.697345,278528,1053482.0
1655599428.0858638,294912,1023417.1875
1655601231.5647008,311296,999438.0625
1655603389.009912,327680,1051725.0
1655605196.0175962,344064,1059925.0
1655606995.7437,360448,1102124.625
1655608812.0850546,376832,1045549.25
1655610630.9726372,393216,1050820.625
1655612447.4781919,409600,1148730.25
1655614258.7749302,425984,1124540.125
1655616052.6407316,442368,1049542.625
1655617855.33889,458752,1083069.5
1655619670.3500278,475136,1105201.5
1655621828.3731084,491520,1081023.625
1655623633.3044314,507904,1089518.5
1655625447.9214768,524288,1151489.125
1655627248.5287826,540672,1021270.5625
1655629060.2600298,557056,1137555.625
1655630871.2620864,573440,1022568.625
1655632677.162769,589824,1128527.5
1655634492.1080918,606208,1101475.125
1655636295.1096904,622592,1119642.625
1655638099.0992012,638976,1137992.5
1655640237.852148,655360,1121865.75
1655642053.6052816,671744,1117899.625
1655643861.6653948,688128,1111399.75
1655645662.4656656,704512,1088751.125
1655647477.6448553,720896,1066229.25
1655649290.0435913,737280,1135621.5
1655651106.6487472,753664,1052889.75
1655652923.4867015,770048,1115410.125
1655654733.729891,786432,1087609.75
1655656898.0169783,802816,1077744.125
1655658696.8275545,819200,1112057.5
1655660496.7695487,835584,1093658.875
1655662296.504604,851968,1114975.625
1655664116.9969144,868352,1137494.625
1655665935.2195637,884736,1135741.375
1655667753.5806246,901120,1109424.125
1655669557.140242,917504,1109086.25
1655671380.4433362,933888,1115639.5
1655673182.7203686,950272,1127331.75
1655675344.1829908,966656,1081389.5
1655677140.4318118,983040,1087699.875
1655678951.6212397,999424,1078934.25
1655680754.6505768,1015808,1077472.875
